
> @calibrate/web@0.1.0 dev
> next dev --port 3210

▲ Next.js 16.3.4 (Turbopack)
- Local:         http://localhost:3210
- Network:       http://14.139.56.28:3210
✓ Ready in 282ms
✓ Running next.config.ts took 21ms

 GET /api/runners 200 in 138ms (next.js: 122ms, application-code: 16ms)
 POST /api/runners 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET /api/runners/8a8b40fb7817 200 in 541ms (next.js: 537ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 23ms (next.js: 20ms, application-code: 2ms)
 GET /api/runners/8a8b40fb7817 200 in 27ms (next.js: 21ms, application-code: 6ms)
 GET /api/runners/8a8b40fb7817 200 in 23ms (next.js: 20ms, application-code: 2ms)
 GET /api/runners/8a8b40fb7817 200 in 21ms (next.js: 18ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 21ms (next.js: 19ms, application-code: 2ms)
 GET /api/runners/8a8b40fb7817 200 in 22ms (next.js: 19ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 24ms (next.js: 22ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 19ms (next.js: 16ms, application-code: 2ms)
 GET /api/runners/8a8b40fb7817 200 in 27ms (next.js: 23ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 24ms (next.js: 22ms, application-code: 1.9ms)
 GET /api/runners/8a8b40fb7817 200 in 21ms (next.js: 19ms, application-code: 1.8ms)
 GET /api/runners/8a8b40fb7817 200 in 33ms (next.js: 29ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 19ms (next.js: 16ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 21ms (next.js: 17ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 20ms (next.js: 18ms, application-code: 1.8ms)
 GET /api/runners/8a8b40fb7817 200 in 22ms (next.js: 19ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 23ms (next.js: 19ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 29ms (next.js: 25ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 19ms (next.js: 17ms, application-code: 1.9ms)
 GET /api/runners/8a8b40fb7817 200 in 18ms (next.js: 16ms, application-code: 2.0ms)
 GET /api/runners/8a8b40fb7817 200 in 23ms (next.js: 20ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 17ms (next.js: 15ms, application-code: 1.7ms)
 GET /api/runners/8a8b40fb7817 200 in 24ms (next.js: 22ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 21ms (next.js: 19ms, application-code: 1.8ms)
 GET /api/runners/8a8b40fb7817 200 in 21ms (next.js: 19ms, application-code: 2.0ms)
 GET /api/runners/8a8b40fb7817 200 in 18ms (next.js: 15ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 23ms (next.js: 20ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 24ms (next.js: 22ms, application-code: 2ms)
 GET /api/runners/8a8b40fb7817 200 in 34ms (next.js: 31ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 27ms (next.js: 23ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 23ms (next.js: 20ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 19ms (next.js: 17ms, application-code: 2ms)
 GET /api/runners/8a8b40fb7817 200 in 25ms (next.js: 20ms, application-code: 5ms)
 GET /api/runners/8a8b40fb7817 200 in 35ms (next.js: 31ms, application-code: 4ms)
 GET /api/runners/8a8b40fb7817 200 in 21ms (next.js: 18ms, application-code: 3ms)
 GET /api/runners/8a8b40fb7817 200 in 20ms (next.js: 18ms, application-code: 2ms)
 GET /api/runners/8a8b40fb7817 200 in 20ms (next.js: 17ms, application-code: 2ms)
 GET /api/runners/8a8b40fb7817 200 in 18ms (next.js: 16ms, application-code: 1.8ms)
 GET /api/runners/8a8b40fb7817 200 in 21ms (next.js: 19ms, application-code: 1.8ms)
 GET /api/runners/8a8b40fb7817 200 in 19ms (next.js: 17ms, application-code: 1.7ms)
 GET /live/8a8b40fb7817 200 in 750ms (next.js: 435ms, application-code: 315ms)
 GET /api/runners/8a8b40fb7817/events 200 in 5.9s (next.js: 428ms, application-code: 5.5s)
 DELETE /api/runners/8a8b40fb7817 200 in 32ms (next.js: 28ms, application-code: 4ms)
[?25h
